"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"12.05.2023","398,95","391,80","398,95","390,75","2,48M","1,86%"
"11.05.2023","391,65","392,50","398,95","387,90","4,19M","-0,11%"
"10.05.2023","392,10","381,00","393,45","380,25","2,26M","2,89%"
"08.05.2023","381,10","379,90","382,60","378,75","678,28K","0,65%"
"05.05.2023","378,65","379,50","383,00","376,00","1,81M","-0,34%"
"04.05.2023","379,95","378,45","382,10","376,00","1,92M","0,52%"
"03.05.2023","378,00","390,00","390,15","377,05","2,93M","-3,08%"
"02.05.2023","390,00","393,80","395,80","387,50","2,60M","-0,96%"
"28.04.2023","393,80","398,90","399,75","393,30","2,15M","-1,12%"
"27.04.2023","398,25","396,00","398,60","394,35","1,30M","0,63%"
"26.04.2023","395,75","396,15","399,50","395,45","1,23M","-0,18%"
"25.04.2023","396,45","399,80","400,75","395,00","1,33M","-0,99%"
"24.04.2023","400,40","398,00","400,95","396,80","1,47M","0,41%"
"21.04.2023","398,75","397,80","401,00","394,55","1,86M","0,57%"
"20.04.2023","396,50","395,75","399,00","390,05","3,42M","0,10%"
"19.04.2023","396,10","397,30","402,95","394,90","4,25M","-0,23%"
"18.04.2023","397,00","396,00","398,85","393,85","2,31M","0,29%"
"17.04.2023","395,85","395,00","395,95","392,60","2,08M","0,88%"
"14.04.2023","392,40","389,95","394,00","385,25","2,20M","0,59%"
"13.04.2023","390,10","391,75","391,80","387,30","1,10M","-0,20%"
"12.04.2023","390,90","388,50","391,90","388,10","1,48M","0,66%"
"11.04.2023","388,35","395,00","397,45","385,10","3,45M","-1,31%"
"10.04.2023","393,50","391,75","395,45","391,20","2,52M","0,46%"
"07.04.2023","391,70","390,75","392,20","386,65","1,79M","0,49%"
"06.04.2023","389,80","390,00","393,40","388,60","2,66M","0,03%"
"05.04.2023","389,70","390,30","391,95","382,15","2,65M","-0,08%"
"04.04.2023","390,00","391,90","394,10","387,25","3,25M","-0,23%"
"03.04.2023","390,90","393,80","396,00","388,10","6,39M","2,63%"
"31.03.2023","380,90","386,95","386,95","376,10","3,10M","-1,36%"
"30.03.2023","386,15","385,55","387,85","383,00","1,70M","0,18%"
"29.03.2023","385,45","383,00","386,65","378,15","3,18M","1,04%"
"28.03.2023","381,50","384,20","384,55","377,65","2,27M","-0,46%"
"27.03.2023","383,25","378,95","384,95","377,65","2,93M","1,59%"
"24.03.2023","377,25","375,10","378,00","373,40","1,23M","0,75%"
"23.03.2023","374,45","375,70","378,05","371,80","1,75M","-0,28%"
"22.03.2023","375,50","371,00","379,70","368,25","3,35M","1,00%"
"21.03.2023","371,80","379,50","384,70","367,65","6,55M","-1,48%"
"20.03.2023","377,40","366,30","380,00","364,65","6,77M","3,34%"
"17.03.2023","365,20","360,30","366,00","357,25","4,45M","1,67%"
"16.03.2023","359,20","356,25","359,50","353,20","2,21M","0,35%"
"15.03.2023","357,95","365,00","367,90","355,50","3,64M","-1,81%"
"14.03.2023","364,55","362,40","371,00","362,00","2,80M","0,29%"
"13.03.2023","363,50","366,20","368,25","360,05","3,13M","-0,66%"
"10.03.2023","365,90","363,00","366,55","359,55","2,27M","0,52%"
"09.03.2023","364,00","365,00","366,45","362,65","1,64M","-0,08%"
"07.03.2023","364,30","365,35","366,00","362,75","2,06M","-0,29%"
"06.03.2023","365,35","361,90","365,95","359,80","2,48M","1,83%"
"03.03.2023","358,80","354,20","359,60","354,20","1,64M","1,06%"
"02.03.2023","355,05","361,70","361,90","354,15","3,62M","-1,76%"
"01.03.2023","361,40","359,10","364,45","358,60","2,68M","0,84%"
