"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"12.05.2023","23,935","23,940","24,035","23,600","14,59M","0,59%"
"11.05.2023","23,795","23,850","24,345","23,420","33,76M","-0,02%"
"10.05.2023","23,800","23,225","23,825","23,205","18,85M","2,59%"
"08.05.2023","23,200","23,305","23,435","23,140","6,89M","-0,43%"
"05.05.2023","23,300","23,600","23,725","23,250","12,35M","-1,08%"
"04.05.2023","23,555","23,520","23,820","23,280","22,62M","0,19%"
"03.05.2023","23,510","24,500","24,555","23,410","42,33M","-4,31%"
"02.05.2023","24,570","25,085","25,265","24,345","19,48M","-2,05%"
"28.04.2023","25,085","25,560","25,600","24,910","14,40M","-1,67%"
"27.04.2023","25,510","25,190","25,600","25,050","21,03M","1,37%"
"26.04.2023","25,165","25,440","25,595","24,830","27,43M","-1,43%"
"25.04.2023","25,530","26,030","26,255","25,425","36,28M","-1,86%"
"24.04.2023","26,015","26,330","26,695","25,620","65,13M","-1,18%"
"21.04.2023","26,325","25,300","26,345","25,185","91,65M","4,17%"
"20.04.2023","25,270","24,900","25,345","24,515","58,95M","1,34%"
"19.04.2023","24,935","25,100","25,185","24,730","20,59M","-0,76%"
"18.04.2023","25,125","25,165","25,430","24,895","25,35M","-0,02%"
"17.04.2023","25,130","24,750","25,190","24,505","29,62M","2,01%"
"14.04.2023","24,635","24,670","24,790","24,490","10,41M","-0,38%"
"13.04.2023","24,730","24,820","24,950","24,320","19,92M","-0,28%"
"12.04.2023","24,800","24,785","24,970","24,420","24,54M","0,49%"
"11.04.2023","24,680","25,440","25,795","24,600","56,41M","-2,01%"
"10.04.2023","25,185","25,100","25,360","24,870","22,49M","0,88%"
"07.04.2023","24,965","25,010","25,425","24,715","26,82M","-0,10%"
"06.04.2023","24,990","25,135","25,515","24,645","42,42M","-0,26%"
"05.04.2023","25,055","24,900","25,275","24,115","50,33M","0,87%"
"04.04.2023","24,840","24,155","25,575","24,065","109,50M","3,26%"
"03.04.2023","24,055","23,870","24,285","23,670","42,10M","2,27%"
"31.03.2023","23,520","23,945","23,970","23,260","24,76M","-1,51%"
"30.03.2023","23,880","23,840","23,945","23,465","28,48M","0,44%"
"29.03.2023","23,775","23,715","23,865","23,460","21,86M","0,55%"
"28.03.2023","23,645","23,905","23,960","23,400","22,07M","-0,48%"
"27.03.2023","23,760","23,390","24,095","23,100","67,04M","3,04%"
