Дата,"Количество заболевших COVID-19, чел."
2023-05-29,20661046
2023-05-28,20686179
2023-05-27,20723589
2023-05-26,20732459
2023-05-25,20733109
2023-05-24,20747105
2023-05-23,20738599
2023-05-22,20730468
2023-05-21,20727841
2023-05-20,20770634
2023-05-19,20793250
2023-05-18,20777404
2023-05-17,20769317
2023-05-16,20757909
2023-05-15,20688245
2023-05-14,20691407
2023-05-13,20718656
2023-05-12,20718996
2023-05-11,20725841
2023-05-10,20729841
2023-05-9,20724276
2023-05-8,20712436
2023-05-7,20669348
2023-05-6,20671752
2023-05-5,20690046
2023-05-4,20679946
2023-05-3,20663617
2023-05-2,20651384
2023-05-1,20630439
2023-04-30,20588493
2023-04-29,20606665
2023-04-28,20609336
2023-04-27,20633209
2023-04-26,20609925
2023-04-25,20584850
2023-04-24,20586703
2023-04-23,20593517
2023-04-22,20575165
2023-04-21,20601362
2023-04-20,20594420
2023-04-19,20520161
2023-04-18,20469833
2023-04-17,20412331
2023-04-16,20432712
2023-04-15,20442631
2023-04-14,20444992
2023-04-13,20422279
2023-04-12,20396031
2023-04-11,20366582
2023-04-10,20343341
2023-04-9,20374889
2023-04-8,20409113
2023-04-7,20452772
2023-04-6,20285965
2023-04-5,20298409
2023-04-4,20236874
2023-04-3,20184379
2023-04-2,20215153
2023-04-1,20224876
2023-03-31,20239894
2023-03-30,20284775
2023-03-29,20235865
2023-03-28,20239580
2023-03-27,20205965
2023-03-26,20239171
2023-03-25,20271595
2023-03-24,20281671
2023-03-23,20277781
2023-03-22,20282745
2023-03-21,20295502
2023-03-20,20257599
2023-03-19,20287135
2023-03-18,20340716
2023-03-17,20266595
2023-03-16,20292029
2023-03-15,20257314
2023-03-14,20116117
2023-03-13,20221563
2023-03-12,20262051
2023-03-11,20305818
2023-03-10,20307290
2023-03-9,20316911
2023-03-8,20273936
2023-03-7,20249866
2023-03-6,20299222
2023-03-5,20352457
2023-03-4,20363032
2023-03-3,20391346
2023-03-2,20428260
2023-03-1,20410369
2023-02-28,20364958
2023-02-27,20384095
2023-02-26,20411427
2023-02-25,20370968
2023-02-24,20419600
2023-02-23,20442211
2023-02-22,20429814
2023-02-21,20474031
2023-02-20,20499917
2023-02-19,20565993
2023-02-18,20635760
2023-02-17,20684934
2023-02-16,20674222
2023-02-15,20692390
2023-02-14,20656588
2023-02-13,20681143
2023-02-12,20740064
2023-02-11,20786372
2023-02-10,20686859
2023-02-9,20718169
2023-02-8,20688100
2023-02-7,20689141
2023-02-6,20746819
2023-02-5,20846880
2023-02-4,20854739
2023-02-3,20945741
2023-02-2,20933151
2023-02-1,20924052
2023-01-31,20878891
2023-01-30,20908311
2023-01-29,21065493
2023-01-28,21130312
2023-01-27,21162989
2023-01-26,21239715
2023-01-25,21295818
2023-01-24,21264476
2023-01-23,21347829
2023-01-22,21596510
2023-01-21,21766235
2023-01-20,21702657
2023-01-19,21791802
2023-01-18,21816711
2023-01-17,21852732
2023-01-16,21889520
2023-01-15,22050309
2023-01-14,22200357
2023-01-13,22164120
2023-01-12,22113359
2023-01-11,22053283
2023-01-10,21845080
2023-01-9,22019971
2023-01-8,22054604
2023-01-7,22012535
2023-01-6,21809604
2023-01-5,21643362
2023-01-4,21398522
2023-01-3,21277104
2023-01-2,21247425
2023-01-1,21507215
2022-12-31,21334048
2022-12-30,21309902
2022-12-29,21205268
2022-12-28,21078936
2022-12-27,20803716
2022-12-26,20702521
2022-12-25,20825054
2022-12-24,20734330
2022-12-23,20589924
2022-12-22,20326734
2022-12-21,20282363
2022-12-20,19839790
2022-12-19,19612865
2022-12-18,19657281
2022-12-17,19533097
2022-12-16,19346504
2022-12-15,19129664
2022-12-14,18708094
2022-12-13,18289134
2022-12-12,17959920
2022-12-11,17988236
2022-12-10,17791491
2022-12-9,17682032
2022-12-8,17360756
2022-12-7,17090973
2022-12-6,16693831
2022-12-5,16387720
2022-12-4,16393158
2022-12-3,16134549
2022-12-2,16035731
2022-12-1,15707034
2022-11-30,15422155
2022-11-29,15093941
2022-11-28,14868538
2022-11-27,14865043
2022-11-26,14816564
2022-11-25,14729641
2022-11-24,14574323
2022-11-23,14540732
2022-11-22,14396284
2022-11-21,14187039
2022-11-20,14261802
2022-11-19,14198091
2022-11-18,14150752
2022-11-17,14007236
2022-11-16,13909197
2022-11-15,13748055
2022-11-14,13706573
2022-11-13,13837240
2022-11-12,13836485
2022-11-11,13911667
2022-11-10,13875818
2022-11-9,13726454
2022-11-8,13654993
2022-11-7,13670545
2022-11-6,13832639
2022-11-5,13868957
2022-11-4,13855859
2022-11-3,14111349
2022-11-2,14085735
2022-11-1,14012744
2022-10-31,14128819
2022-10-30,14319791
2022-10-29,14371679
2022-10-28,14467430
2022-10-27,14460712
2022-10-26,14474198
2022-10-25,14449375
2022-10-24,14443731
2022-10-23,14571225
2022-10-22,14617887
2022-10-21,14704050
2022-10-20,14719079
2022-10-19,14622937
2022-10-18,14405134
2022-10-17,14363820
2022-10-16,14390237
2022-10-15,14431231
2022-10-14,14489649
2022-10-13,14399617
2022-10-12,14207234
2022-10-11,13936722
2022-10-10,13825564
2022-10-9,13839789
2022-10-8,13897967
2022-10-7,14004575
2022-10-6,13876478
2022-10-5,13671806
2022-10-4,13456751
2022-10-3,13372317
2022-10-2,13577104
2022-10-1,13689023
2022-09-30,13740443
2022-09-29,13681320
2022-09-28,13516115
2022-09-27,13321011
2022-09-26,13262388
2022-09-25,13410019
2022-09-24,13517165
2022-09-23,13710516
2022-09-22,13622333
2022-09-21,13694522
2022-09-20,13659540
2022-09-19,13748089
2022-09-18,13918553
2022-09-17,14040308
2022-09-16,14295284
2022-09-15,14370496
2022-09-14,14457461
2022-09-13,14487777
2022-09-12,14686292
2022-09-11,14875347
2022-09-10,15118619
2022-09-9,15475723
2022-09-8,15706108
2022-09-7,15872783
2022-09-6,15979278
2022-09-5,16174073
2022-09-4,16872772
2022-09-3,17128952
2022-09-2,17273771
2022-09-1,17255996
2022-08-31,17399617
2022-08-30,17557897
2022-08-29,17910937
2022-08-28,18247541
2022-08-27,18463472
2022-08-26,18699069
2022-08-25,18675813
2022-08-24,18789291
2022-08-23,18797476
2022-08-22,19011514
2022-08-21,19265327
2022-08-20,19408121
2022-08-19,19564182
2022-08-18,19483957
2022-08-17,19586183
2022-08-16,19523630
2022-08-15,19738941
2022-08-14,20342999
2022-08-13,20553031
2022-08-12,21439520
2022-08-11,21439267
2022-08-10,21789206
2022-08-9,21720838
2022-08-8,21955894
2022-08-7,22300166
2022-08-6,22504647
2022-08-5,22556491
2022-08-4,23480799
2022-08-3,23037443
2022-08-2,22961517
2022-08-1,23173602
2022-07-31,23474896
2022-07-30,23536498
2022-07-29,23656715
2022-07-28,23594676
2022-07-27,23517947
2022-07-26,23756003
2022-07-25,23799742
2022-07-24,23935416
2022-07-23,23878792
2022-07-22,23801599
2022-07-21,23480530
2022-07-20,23287888
2022-07-19,22452168
2022-07-18,22441196
2022-07-17,22562717
2022-07-16,22475852
2022-07-15,22331129
2022-07-14,22102823
2022-07-13,21446388
2022-07-12,21032645
2022-07-11,20794813
2022-07-10,20619059
2022-07-9,20686479
2022-07-8,20614774
2022-07-7,20107948
2022-07-6,19770469
2022-07-5,19223751
2022-07-4,18931319
2022-07-3,18793594
2022-07-2,18976445
2022-07-1,18922041
2022-06-30,18439118
2022-06-29,18158917
2022-06-28,18031357
2022-06-27,17905697
2022-06-26,18725895
2022-06-25,18776477
2022-06-24,18647745
2022-06-23,18349227
2022-06-22,18071699
2022-06-21,17763974
2022-06-20,18386206
2022-06-19,18412823
2022-06-18,18517217
2022-06-17,18558997
2022-06-16,18534823
2022-06-15,18387698
2022-06-14,18467254
2022-06-13,18424160
2022-06-12,18481751
2022-06-11,18546248
2022-06-10,21055736
2022-06-9,20976743
2022-06-8,20409001
2022-06-7,22594320
2022-06-6,22707328
2022-06-5,22718934
2022-06-4,22891932
2022-06-3,22885609
2022-06-2,22823464
2022-06-1,22803973
2022-05-31,22666308
2022-05-30,22716569
2022-05-29,22874831
2022-05-28,23086848
2022-05-27,23113432
2022-05-26,23195238
2022-05-25,23247515
2022-05-24,23286784
2022-05-23,23441686
2022-05-22,23657450
2022-05-21,23858265
2022-05-20,23925487
2022-05-19,23918233
2022-05-18,23931537
2022-05-17,23766145
2022-05-16,23694217
2022-05-15,23162807
2022-05-14,39249574
2022-05-13,39038538
2022-05-12,38911363
2022-05-11,38874591
2022-05-10,38819433
2022-05-9,38905431
2022-05-8,39048465
2022-05-7,39025245
2022-05-6,39058687
2022-05-5,39009519
2022-05-4,39097881
2022-05-3,39133322
2022-05-2,39308702
